DATE_TIME,AWAY,HOME
2017-12-31 7:00:00,MEM,SAC
2017-12-31 3:30:00,CHI,WAS
2017-01-01 7:30:00,ORL,BKN
2017-01-01 8:00:00,POR,CHI
2017-01-01 8:00:00,LAL,MIN
2017-01-01 7:30:00,MIL,TOR
2017-01-02 7:00:00,POR,CLE
2017-01-02 10:30:00,MEM,LAC
2017-01-02 7:30:00,SAS,NYK
2017-01-02 9:00:00,ATL,PHX
2017-01-02 10:00:00,CHA,SAC
2017-01-03 8:00:00,CLE,BOS
2017-01-03 7:30:00,MIN,BKN
2017-01-03 8:00:00,TOR,CHI
2017-01-03 8:30:00,GSW,DAL
2017-01-03 9:00:00,PHX,DEN
2017-01-03 10:30:00,OKC,LAL
2017-01-03 7:30:00,DET,MIA
2017-01-03 8:00:00,IND,MIL
2017-01-03 7:00:00,HOU,ORL
2017-01-03 7:00:00,SAS,PHI
2017-01-03 9:00:00,NOP,UTA
2017-01-03 7:00:00,NYK,WAS
2017-01-04 8:00:00,GSW,HOU
2017-01-04 10:30:00,OKC,LAC
2017-01-05 7:30:00,MIN,BOS
2017-01-05 8:30:00,CHI,DAL
2017-01-05 9:00:00,UTA,DEN
2017-01-05 10:30:00,CHA,LAL
2017-01-05 9:30:00,WAS,MEM
2017-01-05 7:00:00,NYK,MIA
2017-01-05 8:00:00,TOR,MIL
2017-01-05 7:00:00,DET,PHI
2017-01-05 10:00:00,ATL,POR
2017-01-05 8:30:00,PHX,SAS
2017-01-06 6:00:00,BOS,BKN
2017-01-06 7:00:00,HOU,DET
2017-01-06 7:00:00,CHI,IND
2017-01-06 3:30:00,GSW,LAC
2017-01-06 9:00:00,NOP,MIN
2017-01-06 7:00:00,CLE,ORL
2017-01-06 10:00:00,DEN,SAC
2017-01-06 8:00:00,MIL,WAS
2017-01-07 7:00:00,NYK,DAL
2017-01-07 9:30:00,ATL,LAL
2017-01-07 3:30:00,UTA,MIA
2017-01-07 8:00:00,OKC,PHX
2017-01-07 9:00:00,SAS,POR
2017-01-08 7:30:00,TOR,BKN
2017-01-08 8:00:00,HOU,CHI
2017-01-08 10:30:00,DEN,GSW
2017-01-08 7:00:00,MIL,IND
2017-01-08 10:30:00,ATL,LAC
2017-01-08 8:00:00,CLE,MIN
2017-01-08 8:00:00,DET,NOP
2017-01-08 10:00:00,SAS,SAC
2017-01-09 8:30:00,ORL,DAL
2017-01-09 10:30:00,SAC,LAL
2017-01-09 8:00:00,POR,OKC
2017-01-09 7:30:00,MIA,TOR
2017-01-10 7:30:00,DET,BKN
2017-01-10 7:00:00,DAL,CHA
2017-01-10 9:00:00,ATL,DEN
2017-01-10 10:30:00,LAC,GSW
2017-01-10 8:00:00,POR,HOU
2017-01-10 7:00:00,MIA,IND
2017-01-10 8:00:00,NOP,MEM
2017-01-10 8:00:00,ORL,MIL
2017-01-10 8:00:00,OKC,MIN
2017-01-10 7:30:00,CHI,NYK
2017-01-10 7:00:00,UTA,WAS
2017-01-11 10:30:00,SAS,LAL
2017-01-11 3:00:00,BOS,PHI
2017-01-11 10:00:00,LAC,SAC
2017-01-11 8:00:00,CLE,TOR
2017-01-12 7:30:00,BKN,ATL
2017-01-12 7:00:00,UTA,CHA
2017-01-12 9:00:00,MEM,DEN
2017-01-12 7:00:00,CLE,IND
2017-01-12 8:00:00,GSW,MIL
2017-01-12 8:00:00,NYK,MIN
2017-01-12 8:00:00,POR,NOP
2017-01-12 10:30:00,HOU,PHX
2017-01-12 7:00:00,ORL,WAS
2017-01-13 8:00:00,DET,CHI
2017-01-13 5:00:00,OKC,CHA
2017-01-13 2:00:00,LAL,DAL
2017-01-13 3:30:00,SAC,LAC
2017-01-13 8:30:00,DEN,SAS
2017-01-13 7:30:00,GSW,TOR
2017-01-13 7:00:00,BKN,WAS
2017-01-14 1:00:00,MIL,MIA
2017-01-14 9:00:00,POR,MIN
2017-01-14 3:30:00,NOP,NYK
2017-01-14 8:00:00,IND,PHX
2017-01-15 3:00:00,SAS,ATL
2017-01-15 3:00:00,NYK,BKN
2017-01-15 3:30:00,MIA,CHI
2017-01-15 8:00:00,GSW,CLE
